OwnSite,Product,Own Price,Competitor,CompetitorProduct,Competitor Price,Period,CompetitorDate
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-01
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-01
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-01
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-01
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-01
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-01
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-01
The site,Md,2.659,The competitor2,2Mid-Grade,2.539,2021-01,2021-01-01
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-01
The site,Pm,2.759,The competitor1,3Premium,2.259,2021-01,2021-01-01
The site,Pm,2.759,The site,3Premium,2.739,2021-01,2021-01-01
The site,Pm,2.759,The competitor2,3Premium,2.839,2021-01,2021-01-01
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-01
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-02
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-02
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-02
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-02
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-02
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-02
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-02
The site,Pm,2.759,The competitor1,3Premium,2.259,2021-01,2021-01-02
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-02
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-02
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-02
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-02
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-03
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-03
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-03
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-03
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-03
The site,Pm,2.759,The competitor1,3Premium,2.259,2021-01,2021-01-03
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-03
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-04
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-04
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-04
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-04
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-04
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-04
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-04
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-04
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-04
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-04
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-04
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-04
The site,Pm,2.759,The competitor2,3Premium,2.839,2021-01,2021-01-04
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-04
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-04
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-05
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-05
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-05
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-05
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-05
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-05
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-05
The site,Cred-R,2.159,The competitor2,1Regular,2.199,2021-01,2021-01-05
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-05
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-05
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-05
The site,Md,2.659,The competitor2,2Mid-Grade,2.539,2021-01,2021-01-05
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-05
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-05
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-05
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-05
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-05
The site,Pm,2.759,The competitor2,3Premium,2.839,2021-01,2021-01-05
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-05
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-05
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-06
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-06
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-06
The site,Md,2.659,The site,2Mid-Grade,2.659,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-06
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor1,1Regular,1.999,2021-01,2021-01-06
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The site,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-06
The site,Cred-R,2.159,The competitor2,1Regular,2.159,2021-01,2021-01-06
The site,Md,2.659,The site,2Mid-Grade,2.639,2021-01,2021-01-06
The site,Md,2.659,The site,2Mid-Grade,2.659,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Md,2.659,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-06
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-06
The site,Pm,2.759,The site,3Premium,2.759,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Pm,2.759,The competitor2,3Premium,2.859,2021-01,2021-01-06
The site,Cred-R,2.199,The competitor1,1Regular,1.999,2021-01,2021-01-07
The site,Cred-R,2.199,The site,1Regular,2.159,2021-01,2021-01-07
The site,Cred-R,2.199,The site,1Regular,2.159,2021-01,2021-01-07
The site,Cred-R,2.199,The site,1Regular,2.159,2021-01,2021-01-07
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-07
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-07
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-07
The site,Md,2.699,The site,2Mid-Grade,2.659,2021-01,2021-01-07
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-07
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-07
The site,Pm,2.799,The site,3Premium,2.759,2021-01,2021-01-07
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-07
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-07
The site,Cred-R,2.199,The competitor1,1Regular,1.999,2021-01,2021-01-08
The site,Cred-R,2.199,The site,1Regular,2.199,2021-01,2021-01-08
The site,Cred-R,2.199,The site,1Regular,2.199,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-08
The site,Md,2.699,The site,2Mid-Grade,2.659,2021-01,2021-01-08
The site,Md,2.699,The site,2Mid-Grade,2.699,2021-01,2021-01-08
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-08
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-08
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-08
The site,Pm,2.799,The site,3Premium,2.759,2021-01,2021-01-08
The site,Pm,2.799,The site,3Premium,2.799,2021-01,2021-01-08
The site,Pm,2.799,The competitor2,3Premium,2.839,2021-01,2021-01-08
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-08
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor1,1Regular,1.999,2021-01,2021-01-08
The site,Cred-R,2.199,The site,1Regular,2.199,2021-01,2021-01-08
The site,Cred-R,2.199,The site,1Regular,2.199,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-08
The site,Md,2.699,The site,2Mid-Grade,2.659,2021-01,2021-01-08
The site,Md,2.699,The site,2Mid-Grade,2.699,2021-01,2021-01-08
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-08
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-08
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-08
The site,Pm,2.799,The site,3Premium,2.759,2021-01,2021-01-08
The site,Pm,2.799,The site,3Premium,2.799,2021-01,2021-01-08
The site,Pm,2.799,The competitor2,3Premium,2.839,2021-01,2021-01-08
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-08
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-08
The site,Cred-R,2.199,The competitor1,1Regular,1.999,2021-01,2021-01-09
The site,Cred-R,2.199,The competitor1,1Regular,1.999,2021-01,2021-01-09
The site,Cred-R,2.199,The competitor1,1Regular,2.079,2021-01,2021-01-09
The site,Cred-R,2.199,The site,1Regular,2.199,2021-01,2021-01-09
The site,Cred-R,2.199,The site,1Regular,2.259,2021-01,2021-01-09
The site,Cred-R,2.199,The site,1Regular,2.259,2021-01,2021-01-09
The site,Cred-R,2.199,The site,1Regular,2.259,2021-01,2021-01-09
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-09
The site,Cred-R,2.199,The competitor2,1Regular,2.159,2021-01,2021-01-09
The site,Cred-R,2.199,The competitor2,1Regular,2.199,2021-01,2021-01-09
The site,Md,2.699,The site,2Mid-Grade,2.759,2021-01,2021-01-09
The site,Md,2.699,The site,2Mid-Grade,2.759,2021-01,2021-01-09
The site,Md,2.699,The site,2Mid-Grade,2.759,2021-01,2021-01-09
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-09
The site,Md,2.699,The competitor2,2Mid-Grade,2.559,2021-01,2021-01-09
The site,Md,2.699,The competitor2,2Mid-Grade,2.599,2021-01,2021-01-09
The site,Pm,2.799,The competitor1,3Premium,2.359,2021-01,2021-01-09
The site,Pm,2.799,The site,3Premium,2.799,2021-01,2021-01-09
The site,Pm,2.799,The site,3Premium,2.859,2021-01,2021-01-09
The site,Pm,2.799,The site,3Premium,2.859,2021-01,2021-01-09
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-09
The site,Pm,2.799,The competitor2,3Premium,2.859,2021-01,2021-01-09
The site,Pm,2.799,The competitor2,3Premium,2.899,2021-01,2021-01-09
The site,Cred-R,2.199,The competitor1,1Regular,2.079,2021-01,2021-01-10
The site,Cred-R,2.199,The site,1Regular,2.259,2021-01,2021-01-10
The site,Cred-R,2.199,The competitor2,1Regular,2.199,2021-01,2021-01-10
The site,Cred-R,2.199,The competitor2,1Regular,2.259,2021-01,2021-01-10
The site,Cred-R,2.199,The competitor2,1Regular,2.259,2021-01,2021-01-10
The site,Md,2.699,The site,2Mid-Grade,2.759,2021-01,2021-01-10
The site,Md,2.699,The competitor2,2Mid-Grade,2.599,2021-01,2021-01-10
The site,Md,2.699,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-10
The site,Md,2.699,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-10
The site,Pm,2.799,The competitor1,3Premium,2.359,2021-01,2021-01-10
The site,Pm,2.799,The site,3Premium,2.859,2021-01,2021-01-10
The site,Pm,2.799,The competitor2,3Premium,2.879,2021-01,2021-01-10
The site,Pm,2.799,The competitor2,3Premium,2.959,2021-01,2021-01-10
The site,Pm,2.799,The competitor2,3Premium,2.959,2021-01,2021-01-10
The site,Cred-R,2.259,The competitor1,1Regular,2.099,2021-01,2021-01-11
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-11
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-11
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-11
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-11
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-11
The site,Md,2.759,The site,2Mid-Grade,2.759,2021-01,2021-01-11
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-11
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-11
The site,Pm,2.859,The competitor1,3Premium,2.359,2021-01,2021-01-11
The site,Pm,2.859,The site,3Premium,2.859,2021-01,2021-01-11
The site,Pm,2.859,The competitor2,3Premium,2.939,2021-01,2021-01-11
The site,Pm,2.859,The competitor2,3Premium,2.959,2021-01,2021-01-11
The site,Cred-R,2.259,The competitor1,1Regular,2.099,2021-01,2021-01-12
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-12
The site,Md,2.759,The site,2Mid-Grade,2.759,2021-01,2021-01-12
The site,Md,2.759,The site,2Mid-Grade,2.759,2021-01,2021-01-12
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-12
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-12
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-12
The site,Pm,2.859,The competitor1,3Premium,2.359,2021-01,2021-01-12
The site,Pm,2.859,The site,3Premium,2.859,2021-01,2021-01-12
The site,Pm,2.859,The site,3Premium,2.899,2021-01,2021-01-12
The site,Pm,2.859,The competitor2,3Premium,2.939,2021-01,2021-01-12
The site,Pm,2.859,The competitor2,3Premium,2.959,2021-01,2021-01-12
The site,Pm,2.859,The competitor2,3Premium,2.959,2021-01,2021-01-12
The site,Cred-R,2.259,The competitor1,1Regular,2.099,2021-01,2021-01-12
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The site,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-12
The site,Cred-R,2.259,The competitor2,1Regular,2.259,2021-01,2021-01-12
The site,Md,2.759,The site,2Mid-Grade,2.759,2021-01,2021-01-12
The site,Md,2.759,The site,2Mid-Grade,2.759,2021-01,2021-01-12
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-12
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-12
The site,Md,2.759,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-12
The site,Pm,2.859,The competitor1,3Premium,2.359,2021-01,2021-01-12
The site,Pm,2.859,The site,3Premium,2.859,2021-01,2021-01-12
The site,Pm,2.859,The site,3Premium,2.899,2021-01,2021-01-12
The site,Pm,2.859,The competitor2,3Premium,2.939,2021-01,2021-01-12
The site,Pm,2.859,The competitor2,3Premium,2.959,2021-01,2021-01-12
The site,Pm,2.859,The competitor2,3Premium,2.959,2021-01,2021-01-12
The site,Cred-R,2.299,The competitor1,1Regular,2.119,2021-01,2021-01-13
The site,Cred-R,2.299,The competitor1,1Regular,2.139,2021-01,2021-01-13
The site,Cred-R,2.299,The competitor1,1Regular,2.139,2021-01,2021-01-13
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-13
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-13
The site,Cred-R,2.299,The competitor2,1Regular,2.259,2021-01,2021-01-13
The site,Cred-R,2.299,The competitor2,1Regular,2.259,2021-01,2021-01-13
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-13
The site,Md,2.799,The site,2Mid-Grade,2.759,2021-01,2021-01-13
The site,Md,2.799,The competitor2,2Mid-Grade,2.659,2021-01,2021-01-13
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-13
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-13
The site,Pm,2.899,The competitor1,3Premium,2.359,2021-01,2021-01-13
The site,Pm,2.899,The competitor1,3Premium,2.379,2021-01,2021-01-13
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-13
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-13
The site,Pm,2.899,The competitor2,3Premium,2.959,2021-01,2021-01-13
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-13
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-13
The site,Cred-R,2.299,The competitor1,1Regular,2.159,2021-01,2021-01-14
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-14
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-14
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-14
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-14
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-14
The site,Md,2.799,The site,2Mid-Grade,2.759,2021-01,2021-01-14
The site,Md,2.799,The site,2Mid-Grade,2.759,2021-01,2021-01-14
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-14
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-14
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-14
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-14
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-14
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-14
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-14
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-14
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-14
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-14
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-15
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-15
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-15
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-15
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-15
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-15
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-15
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-15
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-15
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-15
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-15
The site,Pm,2.899,The competitor2,3Premium,2.979,2021-01,2021-01-15
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-15
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-16
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-16
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-16
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-16
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-16
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-16
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-16
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-16
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-17
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-17
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-17
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-17
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-17
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-17
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-17
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-17
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-17
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-17
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-17
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-18
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-18
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-18
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-18
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-18
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-18
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-18
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-18
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-18
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-18
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-18
The site,Md,2.799,The site,2Mid-Grade,2.799,2021-01,2021-01-18
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-18
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-18
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-18
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-18
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-18
The site,Pm,2.899,The competitor1,3Premium,2.399,2021-01,2021-01-18
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-18
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-18
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-18
The site,Pm,2.899,The site,3Premium,2.899,2021-01,2021-01-18
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-18
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-18
The site,Pm,2.899,The competitor2,3Premium,2.999,2021-01,2021-01-18
The site,Cred-R,2.299,The competitor1,1Regular,2.179,2021-01,2021-01-19
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-19
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-19
The site,Cred-R,2.299,The site,1Regular,2.299,2021-01,2021-01-19
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-19
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-19
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-19
The site,Cred-R,2.299,The competitor2,1Regular,2.299,2021-01,2021-01-19
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-19
The site,Md,2.799,The competitor2,2Mid-Grade,2.699,2021-01,2021-01-19
