StoreNo,StationAddress,BusDate,DayName,Week,Month,Period,Year,Account,RetailPrice,SalesUnits,GrossProfit,RawMargin
0000,The site,2021-01-01,Fri,1,Jan,2021-01,2021,2Mid-Grade,2.6590,275,186,0.6748
0000,The site,2021-01-01,Fri,1,Jan,2021-01,2021,3Premium,2.7590,971,678,0.6983
0000,The site,2021-01-02,Sat,1,Jan,2021-01,2021,1Regular,2.1590,"9,070","1,871",0.2063
0000,The site,2021-01-02,Sat,1,Jan,2021-01,2021,2Mid-Grade,2.6590,496,309,0.6228
0000,The site,2021-01-02,Sat,1,Jan,2021-01,2021,3Premium,2.7590,"1,412",964,0.6827
0000,The site,2021-01-03,Sun,2,Jan,2021-01,2021,1Regular,2.1590,"7,893","1,538",0.1948
0000,The site,2021-01-03,Sun,2,Jan,2021-01,2021,2Mid-Grade,2.6590,444,295,0.6646
0000,The site,2021-01-03,Sun,2,Jan,2021-01,2021,3Premium,2.7590,"1,211",826,0.6816
0000,The site,2021-01-04,Mon,2,Jan,2021-01,2021,1Regular,2.1590,"7,891","1,577",0.1999
0000,The site,2021-01-04,Mon,2,Jan,2021-01,2021,2Mid-Grade,2.6590,528,351,0.6646
0000,The site,2021-01-04,Mon,2,Jan,2021-01,2021,3Premium,2.7590,"1,455","1,001",0.6880
0000,The site,2021-01-05,Tue,2,Jan,2021-01,2021,1Regular,2.1590,"7,961","1,733",0.2177
0000,The site,2021-01-05,Tue,2,Jan,2021-01,2021,2Mid-Grade,2.6590,379,256,0.6761
0000,The site,2021-01-05,Tue,2,Jan,2021-01,2021,3Premium,2.7590,"1,049",715,0.6813
0000,The site,2021-01-06,Wed,2,Jan,2021-01,2021,1Regular,2.1590,"7,396","1,525",0.2062
0000,The site,2021-01-06,Wed,2,Jan,2021-01,2021,2Mid-Grade,2.6590,335,222,0.6635
0000,The site,2021-01-06,Wed,2,Jan,2021-01,2021,3Premium,2.7590,871,597,0.6853
0000,The site,2021-01-07,Thu,2,Jan,2021-01,2021,1Regular,2.1990,"7,645","1,376",0.1799
0000,The site,2021-01-07,Thu,2,Jan,2021-01,2021,2Mid-Grade,2.6990,511,327,0.6393
0000,The site,2021-01-07,Thu,2,Jan,2021-01,2021,3Premium,2.7990,"1,157",763,0.6592
0000,The site,2021-01-08,Fri,2,Jan,2021-01,2021,1Regular,2.1990,"8,512","1,754",0.2060
0000,The site,2021-01-08,Fri,2,Jan,2021-01,2021,2Mid-Grade,2.6990,317,214,0.6741
0000,The site,2021-01-08,Fri,2,Jan,2021-01,2021,3Premium,2.7990,"1,221",854,0.6996
0000,The site,2021-01-09,Sat,2,Jan,2021-01,2021,1Regular,2.1990,"9,152","2,422",0.2647
0000,The site,2021-01-09,Sat,2,Jan,2021-01,2021,2Mid-Grade,2.6990,565,411,0.7272
0000,The site,2021-01-09,Sat,2,Jan,2021-01,2021,3Premium,2.7990,"1,315","1,004",0.7634
0000,The site,2021-01-10,Sun,3,Jan,2021-01,2021,1Regular,2.1990,"8,623","1,716",0.1990
0000,The site,2021-01-10,Sun,3,Jan,2021-01,2021,2Mid-Grade,2.6990,428,293,0.6853
0000,The site,2021-01-10,Sun,3,Jan,2021-01,2021,3Premium,2.7990,"1,353","1,012",0.7483
0000,The site,2021-01-11,Mon,3,Jan,2021-01,2021,1Regular,2.2590,"7,723","1,498",0.1940
0000,The site,2021-01-11,Mon,3,Jan,2021-01,2021,2Mid-Grade,2.7590,372,249,0.6695
0000,The site,2021-01-11,Mon,3,Jan,2021-01,2021,3Premium,2.8590,965,710,0.7350
0000,The site,2021-01-12,Tue,3,Jan,2021-01,2021,1Regular,2.2590,"7,524","1,573",0.2090
0000,The site,2021-01-12,Tue,3,Jan,2021-01,2021,2Mid-Grade,2.7590,360,246,0.6838
0000,The site,2021-01-12,Tue,3,Jan,2021-01,2021,3Premium,2.8590,"1,078",808,0.7498
0000,The site,2021-01-13,Wed,3,Jan,2021-01,2021,1Regular,2.2990,"7,174","1,435",0.2000
0000,The site,2021-01-13,Wed,3,Jan,2021-01,2021,2Mid-Grade,2.7990,286,195,0.6827
0000,The site,2021-01-13,Wed,3,Jan,2021-01,2021,3Premium,2.8990,"1,092",813,0.7439
0000,The site,2021-01-14,Thu,3,Jan,2021-01,2021,1Regular,2.2990,"7,799","1,507",0.1933
0000,The site,2021-01-14,Thu,3,Jan,2021-01,2021,2Mid-Grade,2.7990,470,311,0.6631
0000,The site,2021-01-14,Thu,3,Jan,2021-01,2021,3Premium,2.8990,"1,208",864,0.7156
0000,The site,2021-01-15,Fri,3,Jan,2021-01,2021,1Regular,2.2990,"8,130","1,539",0.1892
0000,The site,2021-01-15,Fri,3,Jan,2021-01,2021,2Mid-Grade,2.7990,638,426,0.6679
0000,The site,2021-01-15,Fri,3,Jan,2021-01,2021,3Premium,2.8990,"1,162",832,0.7162
0000,The site,2021-01-16,Sat,3,Jan,2021-01,2021,1Regular,2.2990,"9,322","1,902",0.2040
0000,The site,2021-01-16,Sat,3,Jan,2021-01,2021,2Mid-Grade,2.7990,520,327,0.6290
0000,The site,2021-01-16,Sat,3,Jan,2021-01,2021,3Premium,2.8990,"1,761","1,263",0.7170
0000,The site,2021-01-17,Sun,4,Jan,2021-01,2021,1Regular,2.2990,"7,624","1,636",0.2146
0000,The site,2021-01-17,Sun,4,Jan,2021-01,2021,2Mid-Grade,2.7990,426,287,0.6726
0000,The site,2021-01-17,Sun,4,Jan,2021-01,2021,3Premium,2.8990,"1,294",934,0.7218
0000,The site,2021-01-18,Mon,4,Jan,2021-01,2021,1Regular,2.2990,"8,785","1,918",0.2183
0000,The site,2021-01-18,Mon,4,Jan,2021-01,2021,2Mid-Grade,2.7990,447,308,0.6883
0000,The site,2021-01-18,Mon,4,Jan,2021-01,2021,3Premium,2.8990,"1,486","1,075",0.7233
0000,The site,2021-01-19,Tue,4,Jan,2021-01,2021,1Regular,2.2990,"7,499","1,654",0.2206
0000,The site,2021-01-19,Tue,4,Jan,2021-01,2021,2Mid-Grade,2.7990,429,296,0.6899
0000,The site,2021-01-19,Tue,4,Jan,2021-01,2021,3Premium,2.8990,"1,308",947,0.7244
0000,The site,2021-01-20,Wed,4,Jan,2021-01,2021,1Regular,2.2990,"6,959","1,553",0.2231
0000,The site,2021-01-20,Wed,4,Jan,2021-01,2021,2Mid-Grade,2.7990,337,233,0.6909
0000,The site,2021-01-20,Wed,4,Jan,2021-01,2021,3Premium,2.8990,"1,036",747,0.7209
0000,The site,2021-01-21,Thu,4,Jan,2021-01,2021,1Regular,2.2990,"7,123","1,518",0.2131
